star_id,method,n_candidates,found_true_period,rank_of_true_period,matched_P0,true_period,PERIOD,ACTIVITY,CYCLE,OVERLAP,INCL,MINLAT,MAXLAT,DIFFROT,TSPOT,BFLY
smarts-tess-v1.0-000100,acf_fft,10,False,,,0.1176000013947487,0.1176000013947487,2.105299949645996,5.617199897766113,1.817999958992004,0.4706999957561493,10.56589984893799,43.78670120239258,0.2236000001430511,4.353300094604492,True
smarts-tess-v1.0-000100,lombscargle,10,False,,,0.1176000013947487,0.1176000013947487,2.105299949645996,5.617199897766113,1.817999958992004,0.4706999957561493,10.56589984893799,43.78670120239258,0.2236000001430511,4.353300094604492,True
smarts-tess-v1.0-000100,pairwise_histogram,0,False,,,0.1176000013947487,0.1176000013947487,2.105299949645996,5.617199897766113,1.817999958992004,0.4706999957561493,10.56589984893799,43.78670120239258,0.2236000001430511,4.353300094604492,True
smarts-tess-v1.0-000100,wavelet,10,False,,,0.1176000013947487,0.1176000013947487,2.105299949645996,5.617199897766113,1.817999958992004,0.4706999957561493,10.56589984893799,43.78670120239258,0.2236000001430511,4.353300094604492,True
smarts-tess-v1.0-000300,acf_fft,10,False,,,0.1509999930858612,0.1509999930858612,3.381400108337402,5.781599998474121,0.1076999977231026,0.1225999966263771,29.63059997558594,74.76470184326172,0.1693000048398972,4.586999893188477,True
smarts-tess-v1.0-000300,lombscargle,10,False,,,0.1509999930858612,0.1509999930858612,3.381400108337402,5.781599998474121,0.1076999977231026,0.1225999966263771,29.63059997558594,74.76470184326172,0.1693000048398972,4.586999893188477,True
smarts-tess-v1.0-000300,pairwise_histogram,10,False,,,0.1509999930858612,0.1509999930858612,3.381400108337402,5.781599998474121,0.1076999977231026,0.1225999966263771,29.63059997558594,74.76470184326172,0.1693000048398972,4.586999893188477,True
smarts-tess-v1.0-000300,wavelet,9,False,,,0.1509999930858612,0.1509999930858612,3.381400108337402,5.781599998474121,0.1076999977231026,0.1225999966263771,29.63059997558594,74.76470184326172,0.1693000048398972,4.586999893188477,True
smarts-tess-v1.0-000500,acf_fft,10,True,3.0,0.1861209035121973,0.1855999976396561,0.1855999976396561,6.881999969482422,1.510400056838989,0.2989000082015991,0.9652000069618225,32.64569854736328,78.92389678955078,0.0,4.013400077819824,True
smarts-tess-v1.0-000500,lombscargle,10,True,5.0,0.18617206548241028,0.1855999976396561,0.1855999976396561,6.881999969482422,1.510400056838989,0.2989000082015991,0.9652000069618225,32.64569854736328,78.92389678955078,0.0,4.013400077819824,True
