,0
ACTIVITY,0.2544347866980154
abs_DIFFROT,0.238679895233333
PERIOD,0.15721350366284445
MINLAT,0.09371051199001154
TSPOT,0.08578536866784937
MAXLAT,0.05897919390410322
INCL,0.04284252725089513
CYCLE,0.034130722035913406
OVERLAP,0.031657980457205526
BFLY,0.002565510099828807
