parameter,spearman_rho,p_value
ACTIVITY,0.2015441227033818,8.157303160862014e-27
abs_DIFFROT,-0.20033382396013355,1.656576798888014e-26
MINLAT,-0.12060602876975234,1.8587152301363874e-10
TSPOT,0.08751393319078751,3.9114546732899436e-06
PERIOD,-0.07045885526349072,0.00020406900887024105
MAXLAT,-0.059350542655915293,0.0017643874591621882
CYCLE,-0.04951763909702471,0.009095112528999335
INCL,0.041611012925292234,0.02841110987540071
OVERLAP,0.015594484788730519,0.41163364141616116
